lat,long
41.507,-87.7
41.507,-87.685
41.507,-87.675
41.505,-87.682
41.5,-87.685
41.501,-87.681
41.5,-87.682
41.498,-87.697
41.497,-87.682
41.496,-87.687
41.492,-87.68
41.492,-87.676
41.489,-87.698
41.489,-87.692
41.49,-87.678
41.49,-87.667
41.488,-87.679
41.488,-87.675
41.486,-87.672
41.485,-87.688
41.485,-87.68
41.483,-87.687
41.484,-87.68
41.484,-87.677
41.484,-87.675
41.484,-87.673
41.483,-87.674
41.482,-87.68
41.482,-87.673
41.482,-87.67
41.481,-87.675
41.48,-87.671
41.479,-87.67
41.479,-87.672
41.478,-87.676
41.479,-87.678
41.479,-87.681
41.479,-87.694
41.474,-87.674
41.472,-87.674
41.471,-87.673
41.471,-87.676
41.472,-87.677
41.466,-87.693
41.464,-87.698
41.469,-87.66
41.471,-87.639
41.47,-87.637
41.469,-87.638
41.469,-87.64
41.47,-87.643
41.469,-87.648
41.469,-87.652
41.468,-87.65
41.468,-87.646
41.468,-87.636
41.468,-87.639
41.468,-87.642
41.467,-87.646
41.467,-87.649
41.467,-87.653
41.466,-87.651
41.466,-87.648
41.465,-87.646
41.465,-87.643
41.465,-87.641
41.466,-87.639
41.466,-87.636
41.464,-87.638
41.464,-87.636
41.463,-87.64
41.463,-87.643
41.462,-87.638
41.464,-87.648
41.464,-87.651
41.433,-87.653
41.462,-87.647
41.461,-87.649
41.481,-87.645
41.462,-87.644
41.461,-87.64
41.461,-87.637
41.46,-87.643
41.458,-87.64
41.459,-87.637
41.454,-87.658
41.451,-87.656
41.45,-87.658
41.452,-87.635
41.45,-87.635
41.448,-87.631
41.448,-87.635
41.447,-87.637
41.448,-87.638
41.446,-87.636
41.446,-87.63
41.447,-87.627
41.448,-87.625
41.445,-87.633
41.444,-87.636
41.445,-87.626
41.445,-87.623
41.443,-87.623
41.444,-87.625
41.444,-87.628
41.444,-87.631
41.443,-87.635
41.441,-87.635
41.44,-87.637
41.44,-87.634
41.441,-87.632
41.442,-87.63
41.442,-87.627
41.442,-87.629
41.442,-87.627
41.441,-87.624
41.442,-87.621
41.439,-87.622
41.439,-87.625
41.439,-87.628
41.439,-87.63
41.438,-87.633
41.438,-87.628
41.438,-87.629
41.436,-87.63
41.435,-87.628
41.435,-87.624
41.435,-87.621
41.436,-87.613
41.436,-87.611
41.435,-87.607
41.435,-87.604
41.436,-87.601
41.432,-87.607
41.43,-87.607
41.429,-87.606
41.427,-87.607
41.426,-87.608
41.429,-87.603
41.43,-87.6
41.428,-87.598
41.422,-87.598
